,date,spy_usd,btc_usd,eth_usd
158,2025-03-10,560.58,80751.13893300897,2017.265460184326
159,2025-03-11,555.92,78783.94057934263,1879.1231054991026
160,2025-03-12,558.87,82799.1080292053,1921.3099227587034
161,2025-03-13,551.42,83884.24578828987,1910.6551381032464
162,2025-03-14,562.81,81098.90052436228,1862.7949366490388
163,2025-03-17,567.15,82610.61750343916,1887.7643429692785
164,2025-03-18,561.02,84075.36559694471,1929.1833577618722
165,2025-03-19,567.13,82780.03048688271,1932.7964059050657
166,2025-03-20,565.49,86815.44109470697,2060.728601068271
167,2025-03-21,563.98,84270.84358966233,1980.831780524645
168,2025-03-24,574.08,85787.70914901773,2001.0470230951883
169,2025-03-25,575.46,87327.72969669085,2077.739325831977
170,2025-03-26,568.59,87520.58391530563,2068.598435049149
171,2025-03-27,567.08,86960.8555491039,2009.8835432902426
172,2025-03-28,555.66,87227.27158032371,2003.3034241292064
173,2025-03-31,559.39,82356.38111183756,1805.3378779435934
174,2025-04-01,560.97,82514.09365397849,1824.2071367609847
175,2025-04-02,564.52,85237.5876052852,1907.1671522994227
176,2025-04-03,536.7,82526.4221526433,1795.761850567479
177,2025-04-04,505.28,83163.98757387721,1818.2844199542053
178,2025-04-07,504.38,78211.48358199988,1574.6321611455576
179,2025-04-08,496.48,79179.29226757778,1555.909812570873
180,2025-04-09,548.62,76329.090356324,1471.3608854365523
181,2025-04-10,524.58,82622.17029546302,1662.5331604641576
182,2025-04-11,533.94,79596.35732250768,1523.928624242526
183,2025-04-14,539.12,83600.82010054543,1595.4227460001084
184,2025-04-15,537.61,84523.4524914945,1621.543195596693
185,2025-04-16,525.66,83656.49248858042,1587.8222244021401
186,2025-04-17,526.41,84105.77942167096,1577.7073516760117
187,2025-04-21,513.88,85073.16544858096,1585.4600253443446
188,2025-04-22,527.25,87452.04699068287,1577.4465595922347
189,2025-04-23,535.42,93576.16588573981,1759.7064599311093
190,2025-04-24,546.69,93605.45230873208,1793.969849485534
191,2025-04-25,550.64,93872.81422867288,1769.3925107354407
192,2025-04-28,550.85,93809.33781968223,1793.6918440730135
193,2025-04-29,554.32,95030.60645474444,1799.50191449199
194,2025-04-30,554.54,94256.35946318062,1796.9720456768928
195,2025-05-01,558.47,94235.75331048167,1794.0495408617828
196,2025-05-02,566.76,96426.94522273027,1838.8543285925753
197,2025-05-05,563.51,94326.62048529249,1808.156093844096
198,2025-05-06,558.8,94758.8237105546,1820.0044598893596
199,2025-05-07,561.15,96854.53198815876,1816.1686943818438
200,2025-05-08,565.06,97026.49376966801,1810.3169269284476
201,2025-05-09,564.34,103076.27555512934,2197.5611893238784
202,2025-05-12,582.99,103994.061616746,2507.4693107597423
203,2025-05-13,586.84,102876.8304286011,2492.426391077375
204,2025-05-14,587.59,104184.49039270742,2676.639163127913
205,2025-05-15,590.46,103594.42575090709,2603.7180887199615
206,2025-05-16,594.2,103708.85136423641,2542.296692466797
207,2025-05-19,594.85,106030.6376831359,2465.3409856139087
208,2025-05-20,592.85,105629.41580436694,2526.989643891319
209,2025-05-21,582.86,106786.71995834043,2524.2743433146065
210,2025-05-22,583.09,109665.86371625263,2558.9502343769486
211,2025-05-23,579.11,111560.356938144,2657.1674447566115
212,2025-05-27,591.15,109377.71513263129,2562.1729286392238
213,2025-05-28,587.73,109068.45694901445,2662.0940568241435
214,2025-05-29,590.05,107838.18431100152,2676.2674124507
215,2025-05-30,589.39,105745.41660358038,2633.1392065286695
216,2025-06-02,592.71,105710.00593822816,2538.3300584367485
217,2025-06-03,596.09,105884.74263221149,2609.737253959435
218,2025-06-04,595.93,105434.47745144971,2595.4689570062997
219,2025-06-05,593.05,104812.9182188067,2610.343189828259
220,2025-06-06,599.14,101650.7387545425,2421.601103763502
221,2025-06-09,599.68,105692.24740699006,2508.784123584585
222,2025-06-10,603.08,110261.57485948496,2685.0001850413178
223,2025-06-11,601.36,110212.73252109604,2808.503208314919
224,2025-06-12,603.75,108679.9760916168,2776.1371915822333
225,2025-06-13,597.0,105979.22902375912,2653.158968452672
226,2025-06-16,602.68,105554.49383061715,2547.8456040920437
227,2025-06-17,597.53,106951.2720181497,2561.329843569428
228,2025-06-18,597.44,104683.42479835715,2514.986700576147
229,2025-06-20,594.28,104690.65002458123,2522.1791903642184
230,2025-06-23,600.15,100852.58264648831,2227.4287266371684
231,2025-06-24,606.78,105511.62437933135,2423.899644268608
232,2025-06-25,607.12,105976.06929808448,2446.539301545049
233,2025-06-26,611.87,107238.53045016268,2417.2267855277296
234,2025-06-27,614.91,106984.01253775663,2415.031864876594
235,2025-06-30,617.85,108396.61631317894,2502.6672721177083
236,2025-07-01,617.65,107132.79910701896,2488.190781689803
237,2025-07-02,620.45,105613.39974163055,2405.1045592800183
238,2025-07-03,625.34,108824.44423167943,2574.067718495133
239,2025-07-07,620.68,109215.19771840284,2571.358192115984
240,2025-07-08,620.34,108300.71675785031,2543.6317028067488
241,2025-07-09,624.06,108953.19187727802,2615.7759888945047
242,2025-07-10,625.82,111327.53054245669,2772.5795626609174
243,2025-07-11,623.62,115879.65030112496,2948.4462027029053
244,2025-07-14,624.81,119117.55666327637,2974.2654952333387
245,2025-07-15,622.14,119833.67446712355,3012.1797069059276
246,2025-07-16,624.22,117678.19493404306,3133.069857747011
247,2025-07-17,628.04,118748.1627367753,3368.126521526108
248,2025-07-18,627.58,119445.36520434043,3481.8828152374017
